id_sale|id_product|score|date|refund
206|51|5|03/01/2020|0
207|52|5|19/03/2020|0
208|52|5|02/01/2020|0
209|54|4|03/08/2020|0
210|54|5|02/08/2020|0
211|54|5|04/07/2020|0
212|54|5|01/07/2020|0
213|54|5|03/06/2020|0
214|54|5|23/05/2020|0
215|54|4|15/05/2020|0
216|54|5|11/05/2020|0
217|54|5|08/05/2020|0
218|54|5|04/05/2020|0
219|54|4|04/05/2002|0
220|54|5|04/05/2020|0
221|54|5|04/05/2020|0
222|54|4|30/04/2020|0
223|54|4|24/04/2020|0
224|54|5|23/04/2020|0
225|54|4|17/04/2020|0
226|54|5|15/04/2020|0
227|54|5|14/04/2020|0
228|54|4|14/04/2020|0
229|54|5|13/04/2020|0
230|54|5|13/04/2020|0
231|54|5|13/04/2020|0
232|54|5|09/04/2020|0
233|54|5|03/04/2020|0
234|54|5|03/04/2020|0
235|54|5|30/03/2020|0
236|54|5|26/03/2020|0
237|54|5|20/03/2020|0
238|54|2|19/03/2020|1
239|54|5|17/03/2020|0
240|54|5|14/03/2020|0
241|54|5|13/03/2020|0
242|54|4|02/03/2020|0
243|54|5|01/03/2020|0
244|54|5|25/02/2020|0
245|54|5|20/02/2020|0
246|54|4|17/02/2020|0
247|54|5|14/02/2020|0
248|54|5|12/02/2020|0
249|54|4|10/02/2020|0
250|54|5|07/02/2020|0
251|54|5|31/01/2020|0
252|54|5|30/01/2020|0
253|54|5|29/01/2020|0
254|54|5|27/01/2020|0
255|54|5|25/01/2020|0
256|54|5|23/01/2020|0
257|54|5|23/01/2020|0
258|54|4|22/01/2020|0
259|57|5|05/07/2020|0
260|57|5|23/05/2020|0
261|57|5|23/05/2020|0
262|57|5|01/05/2020|0
263|57|5|06/04/2020|0
264|57|5|09/03/2020|0
265|57|5|25/02/2020|0
266|57|5|10/02/2020|0
267|57|4|04/02/2020|0
268|57|5|04/02/2020|0
269|57|5|28/01/2020|0
270|57|5|27/01/2020|0
271|57|4|22/01/2020|0
272|57|5|08/01/2020|0
273|57|5|07/01/2020|0
274|60|5|17/06/2020|0
275|66|5|06/05/2020|0
276|67|5|24/04/2020|0
277|74|4|12/02/2020|0
278|74|5|18/02/2020|0
279|84|5|05/05/2020|0
280|85|5|05/05/2020|0
281|85|5|28/04/2020|0
282|89|3|06/01/2020|0
283|94|4|10/04/2020|0
