id_product|name|price|category|stock
41|Tarjeta Madre ASUS micro ATX Prime H370M-Plus/CSM, S-1151, Intel H370, HDMI, 64GB DDR4 para Intel|3329|tarjetas madre|286
42|Tarjeta Madre ASRock Micro ATX B450M Steel Legend, S-AM4, AMD B450, HDMI, 64GB DDR4 para AMD|1779|tarjetas madre|0
43|Tarjeta Madre ASUS ATX ROG STRIX Z390-E GAMING, S-1151, Intel Z390, HDMI, 64GB DDR4 para Intel|6369|tarjetas madre|5
44|Tarjeta Madre MSI ATX B450 TOMAHAWK MAX, S-AM4, AMD B450, 64GB DDR4 para AMD|2759|tarjetas madre|0
45|Tarjeta Madre ASRock ATX H110 Pro BTC+, S-1151, Intel H110, 32GB DDR4, para Intel|2869|tarjetas madre|25
46|Tarjeta Madre Gigabyte micro ATX GA-H110M-DS2, S-1151, Intel H110, 32GB DDR4 para Intel|1539|tarjetas madre|49
47|SSD XPG SX8200 Pro, 256GB, PCI Express, M.2|1209|discos duros|8
48|SSD Kingston A2000 NVMe, 1TB, PCI Express 3.0, M2|2559|discos duros|50
49|Kit SSD Kingston KC600, 1TB, SATA III, 2.5, 7mm|3139|discos duros|3
50|SSD Crucial MX500, 1TB, SATA III, M.2|2949|discos duros|4
51|SSD Kingston UV500, 480GB, SATA III, mSATA|2399|discos duros|0
52|SSD Western Digital WD Blue 3D NAND, 2TB, M.2|5659|discos duros|13
53|SSD Addlink Technology S70, 512GB, PCI Express 3.0, M.2|2039|discos duros|1
54|SSD Kingston A400, 120GB, SATA III, 2.5'', 7mm|259|discos duros|300
55|SSD para Servidor Supermicro SSD-DM128-SMCMVN1, 128GB, SATA III, mSATA, 6Gbit/s|4399|discos duros|10
56|SSD para Servidor Lenovo Thinksystem S4500, 480GB, SATA III, 3.5'', 7mm|3269|discos duros|3
57|SSD Adata Ultimate SU800, 256GB, SATA III, 2.5'', 7mm|889|discos duros|15
58|SSD para Servidor Lenovo Thinksystem S4510, 480GB, SATA III, 2.5'', 7mm|3679|discos duros|16
59|SSD Samsung 860 EVO, 1TB, SATA III, M.2|5539|discos duros|10
60|Kit Memoria RAM Corsair Dominator Platinum DDR4, 3200MHz, 16GB (2x 8GB), Non-ECC, CL16, XMP|2519|memorias usb|10
61|Kit Memoria RAM Corsair Vengeance LPX DDR4, 2400MHz, 32GB, Non-ECC, CL16|5209|memorias usb|5
62|Makena Smart TV LED 32S2 32'', HD, Widescreen, Gris|2899|pantallas|6
63|Seiki TV LED SC-39HS950N 38.5, HD, Widescreen, Negro|3369|pantallas|146
64|Samsung TV LED LH43QMREBGCXGO 43, 4K Ultra HD, Widescreen, Negro|12029|pantallas|71
65|Samsung Smart TV LED UN70RU7100FXZX 70, 4K Ultra HD, Widescreen, Negro|21079|pantallas|7
66|TCL Smart TV LED 55S425 54.6, 4K Ultra HD, Widescreen, Negro|8049|pantallas|188
67|TV Monitor LED 24TL520S-PU 24, HD, Widescreen, HDMI, Negro|3229|pantallas|411
68|Makena Smart TV LED 40S2 40'', Full HD, Widescreen, Negro|4229|pantallas|239
69|Hisense Smart TV LED 40H5500F 39.5, Full HD, Widescreen, Negro|5359|pantallas|94
70|Samsung Smart TV LED 43, Full HD, Widescreen, Negro|7679|pantallas|10
71|Samsung Smart TV LED UN32J4290AF 32, HD, Widescreen, Negro|4829|pantallas|3
72|Hisense Smart TV LED 50H8F 49.5, 4K Ultra HD, Widescreen, Negro|9759|pantallas|11
73|Samsung Smart TV LED UN55TU7000FXZX 55, 4K Ultra HD, Widescreen, Negro/Gris|10559|pantallas|4
74|Logitech Bocinas para Computadora con Subwoofer G560, Bluetooth, Inalámbrico, 2.1, 120W RMS, USB, negro|4239|bocinas|1
75|Lenovo Barra de Sonido, Alámbrico, 2.5W, USB, Negro|441|bocinas|11
76|Acteck Bocina con Subwoofer AXF-290, Bluetooth, Inalámbrico, 2.1, 18W RMS, 180W PMPO, USB, Negro|589|bocinas|18
77|Verbatim Bocina Portátil Mini, Bluetooth, Inalámbrico, 3W RMS, USB, Blanco|178|bocinas|1
78|Ghia Bocina Portátil BX300, Bluetooth, Inalámbrico, 40W RMS, USB, Rojo - Resistente al Agua|769|bocinas|2
79|Naceb Bocina Portátil NA-0301, Bluetooth, Inalámbrico, USB 2.0, Rojo|709|bocinas|31
80|Ghia Bocina Portátil BX800, Bluetooth, Inalámbrico, 2.1 Canales, 31W, USB, Negro|1359|bocinas|15
81|Ghia Bocina Portátil BX900, Bluetooth, Inalámbrico, 2.1 Canales, 34W, USB, Negro - Resistente al Agua|1169|bocinas|20
82|Ghia Bocina Portátil BX400, Bluetooth, Inalámbrico, 8W RMS, USB, Negro|549|bocinas|31
83|Ghia Bocina Portátil BX500, Bluetooth, Inalámbrico, 10W RMS, USB, Gris|499|bocinas|16
84|Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo|1089|audifonos|83
85|Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul|2159|audifonos|39
86|ASUS Audífonos Gamer ROG Theta 7.1, Alámbrico, USB C, Negro|8359|audifonos|20
87|Acer Audífonos Gamer Galea 300, Alámbrico, 3.5mm, Negro|1719|audifonos|8
88|Audífonos Gamer Balam Rush Orphix RGB 7.1, Alámbrico, USB, Negro|909|audifonos|15
89|Cougar Audífonos Gamer Phontum Essential, Alámbrico, 1.9 Metros, 3.5mm, Negro.|859|audifonos|4
90|Energy Sistem Audífonos con Micrófono Headphones 1, Bluetooh, Inalámbrico, Negro/Grafito|539|audifonos|1
91|Genius GHP-400S Audífonos, Alámbrico, 1.5 Metros, Rosa|137|audifonos|16
92|Getttech Audífonos con Micrófono Sonority, Alámbrico, 1.2 Metros, 3.5mm, Negro/Rosa|149|audifonos|232
93|Ginga Audífonos con Micrófono GI18ADJ01BT-RO, Bluetooth, Alámbrico/Inalámbrico, 3.5mm, Rojo|160|audifonos|139
94|HyperX Audífonos Gamer Cloud Flight para PC/PS4/PS4 Pro, Inalámbrico, USB, 3.5mm, Negro|2869|audifonos|12
95|Iogear Audífonos Gamer GHG601, Alámbrico, 1.2 Metros, 3.5mm, Negro|999|audifonos|2
96|Klip Xtreme Audífonos Blast, Bluetooth, Inalámbrico, Negro/Verde|769|audifonos|2
